65,Meters,"Degrees - Angle calculated from positive x-axis. if a > 90, then most likely thrown right to left. If a < 90, then most likely thrown left to right.",Meters/s,Rotations,Radians,Meters/s,,Meters,Meters,Meters,,,Rotation (Seconds),,,,Initial Angle first 3 (0v),,,Initial Velocity first 3,,
Video,Initial Height,Initial Angle,Initial Velocity,Rot. per sec.,Rad. per sec.,Ang. Velocity,Rot. Type,Peak Height,X Distance,Direct Distance,Comment,,Start,Finish,Rot.,Pi rot.,1,2,3,1,2,3
Both-01,,,,,,,,,,,Out of frame at peak,,,,,,,,,,,
Both-02,1.561,142.9333333,4.042,2.450980392,15.39996399,0.30799928,Back Spin,1.912,2.775,3.183919911,Good - spin,,1.292,1.7,1,6.28,144,143.1,141.7,4.317,3.967,3.842
Both-03,1.583,146.6,3.368666667,0,0,0,N/A,1.858,2.352,2.835100175,Good - hardly any spin,,0,0,0,0,148.5,147,144.3,3.66,3.507,2.939
Both-04,,,,,,,,,,,Out of frame at peak,,,,,,,,,,,
Both-05,1.61,131.9,3.216,4.324324324,1.698158191,0.033963164,Forward Spin,1.989,2.081,2.631095019,"Good, slightly out of frame at peak - hardly any spin",,0.958,1.883,0.25,1.57,131.2,129.5,135,3.252,3.368,3.028
Both-07,,,,,,,,,,,Not good,,,,,,,,,,,
Both-08,,,,,,,,,,,Not good,,,,,,,,,,,
Both_with_spin-01,0.839,134.0333333,4.006333333,24.3902439,153.2484221,3.064968443,Forward Spin,1.506,2.254,2.405085653,,,0.167,0.208,1,6.28,135,133.6,133.5,4.137,4.039,3.843
Both_with_spin-02,,,,,,,,,,,Awkward trajectory,,,,,,,,,,,
Both_with_spin-03,0.907,124.7666667,5.211333333,21.27659574,133.6847938,2.673695875,Forward Spin,1.526,1.831,2.043333061,,,0.017,0.064,1,6.28,123.3,125,126,3.997,5.889,5.748
Both_with_spin-04,0.955,135.2666667,3.975333333,20,125.6637061,2.513274123,Forward Spin,1.425,2.078,2.286943156,,,0.008,0.058,1,6.28,137.6,133.2,135,3.478,3.316,5.132
Both_with_spin-05,0.855,124.6666667,3.16,21.27659574,133.6847938,2.673695875,Forward Spin,1.301,1.566,1.784203183,,,0.008,0.055,1,6.28,126.2,124.6,123.2,2.99,3.271,3.219
Both_with_spin-06,,,,,,,,,,,No forward momentum,,,,,,,,,,,
Both_with_spin-07,0.869,111.6333333,3.847333333,16.94915254,106.4946662,2.129893324,Forward Spin,1.511,1.202,1.483227899,,,0.033,0.092,1,6.28,109.1,112.6,113.2,4.159,3.93,3.453
Both_with_spin-08,,,,,,,,,,,Awkward trajectory,,,,,,,,,,,
Both_with_spin-09,0.75,134.0333333,2.903333333,8,50.26548246,1.005309649,Back Spin,1.175,1.947,2.086458483,,,0.008,0.133,1,6.28,130.5,136.6,135,2.86,2.968,2.882
Both_with_spin-10,0.764,128.7333333,3.025666667,8,50.26548246,1.005309649,Back Spin,1.247,1.695,1.859225914,,,0.025,0.15,1,6.28,126.9,130.2,129.1,2.904,3.11,3.063
Both_with_spin-11,0.806,123,2.969,7.518796992,47.24199479,0.944839896,Back Spin,1.337,1.602,1.793332094,,,0,0.133,1,6.28,122.3,123,123.7,3.026,2.968,2.913
Both_with_spin_and_paddle-01,1.106,28.33333333,4.191333333,20.83333333,130.8996939,2.617993878,Forward Spin,1.383,2.297,2.54940091,Launched from left to right,,0,0.048,1,6.28,29.1,23.1,32.8,3.527,3.477,5.57
Both_with_spin_and_paddle-02,1.191,14.5,2.345666667,12.04819277,75.7010278,1.514020556,Forward Spin,1.222,1.139,1.647969053,Launched from left to right,,0,0.083,1,6.28,19,10.9,13.6,2.526,1.976,2.535
Both_with_spin_and_paddle-03,1.223,39.66666667,2.862,12.19512195,76.62421106,1.532484221,Forward Spin,1.516,1.946,2.298400531,Launched from left to right,,0,0.082,1,6.28,40.2,40.8,38,2.985,2.857,2.744
Both_with_spin_and_paddle-04,,,,,,,,,,,random rotation,,,,,,,,,,,
Both_with_spin_and_paddle-05,0.485,53.8,4.03,14.92537313,93.77888518,1.875577704,Forward Spin,1.054,1.641,1.711170944,Launched from left to right,,0,0.067,1,6.28,53.1,55.5,52.8,3.475,3.516,5.099
Both_with_spin_and_paddle-06,0.556,46.36666667,3.032,14.08450704,88.49556771,1.769911354,Forward Spin,0.853,1.295,1.409312244,Launched from left to right,,0,0.071,1,6.28,48.7,46.5,43.9,2.558,2.649,3.889
Both_with_spin_and_paddle-07,0.516,56.8,4.571,14.92537313,93.77888518,1.875577704,Forward Spin,1.204,1.895,1.963996181,Launched from left to right,,0,0.067,1,6.28,58.2,57,55.2,3.327,5.137,5.249
Freefall-01,1.515,66.76666667,0.008775,0,0,0,Forward Spin,1.515,1.50154,2.133037124,,,0,0,0,0,105.6,78.9,15.8,0.006928,0.01043,0.008967
Freefall-02,,,,,,,,,,,Bad rotation,,,,,,,,,,,
Freefall-03,1.56232,6.933333333,0.489666667,17.16738197,6.741615136,0.134832303,Clockwise Spin,1.56232,1.69431,2.304675717,,,0.275,0.508,0.25,1.57,-89,63.1,46.7,0.427,0.447,0.595
Freefall-04,1.245,-6.5,0.721333333,5,7.853981634,0.157079633,Clockwise Spin,1.245,1.424016,1.891519645,,,0.042,0.442,0.5,3.14,0.2,21.6,-41.3,0.649,0.92,0.595
